일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh)
2018-01-01 00:00,6.8,,44.0,,6.0,,,122.288,0.0
2018-01-01 01:00,7.1,,46.0,,,,,122.288,0.0
2018-01-01 02:00,7.0,,63.0,,,,,122.288,0.0
2018-01-01 03:00,6.9,,58.0,,9.0,,,122.288,0.0
2018-01-01 04:00,6.8,,63.0,,9.0,,,122.288,0.0
2018-01-01 05:00,6.5,,58.0,,9.0,,,122.288,0.0
2018-01-01 06:00,6.2,,50.0,,8.0,,,122.288,0.0
2018-01-01 07:00,6.0,,54.0,,9.0,,,122.288,0.23
2018-01-01 08:00,5.8,,56.0,,9.0,0.0,0.0,122.288,9.87
2018-01-01 09:00,6.2,,51.0,,9.0,0.0,0.13,122.288,26.04
2018-01-01 10:00,6.6,,50.0,,9.0,0.0,0.31,122.288,46.28
2018-01-01 11:00,6.7,,51.0,,9.0,0.0,0.43,122.288,66.77
2018-01-01 12:00,7.1,,52.0,,9.0,0.1,0.77,122.288,71.27
2018-01-01 13:00,7.2,,53.0,,2.0,0.7,1.64,122.288,71.85
2018-01-01 14:00,7.5,,53.0,,7.0,0.1,0.83,122.288,65.29
2018-01-01 15:00,7.4,,54.0,,4.0,0.4,0.89,122.288,45.52
2018-01-01 16:00,7.1,,52.0,,3.0,0.2,0.45,122.288,16.99
2018-01-01 17:00,7.0,,49.0,,1.0,0.9,0.47,122.288,0.99
2018-01-01 18:00,6.5,,49.0,,0.0,0.3,0.05,122.288,0.0
2018-01-01 19:00,6.3,,51.0,,0.0,,,122.288,0.0
2018-01-01 20:00,6.4,,54.0,,,,,122.288,0.0
2018-01-01 21:00,6.4,,54.0,,3.0,,,122.288,0.0
2018-01-01 22:00,6.0,,50.0,,,,,122.288,0.0
2018-01-01 23:00,4.9,,56.0,,,,,122.288,0.0
2018-01-02 00:00,4.3,,59.0,,0.0,,,122.288,0.0
2018-01-02 01:00,3.8,,59.0,,,,,122.288,0.0
2018-01-02 02:00,3.4,,60.0,,,,,122.288,0.0
2018-01-02 03:00,3.7,,58.0,,0.0,,,122.288,0.0
2018-01-02 04:00,3.4,,59.0,,0.0,,,122.288,0.0
2018-01-02 05:00,3.3,,59.0,,1.0,,,122.288,0.0
2018-01-02 06:00,3.5,,59.0,,2.0,,,122.288,0.0
2018-01-02 07:00,3.4,,58.0,,0.0,,,122.288,0.21
2018-01-02 08:00,3.6,,57.0,,0.0,0.0,0.01,122.288,9.9
2018-01-02 09:00,5.1,,51.0,,0.0,0.7,0.31,122.288,38.24
2018-01-02 10:00,8.7,,42.0,,2.0,1.0,0.82,122.288,64.41
2018-01-02 11:00,8.4,,41.0,,2.0,1.0,1.36,122.288,66.89
2018-01-02 12:00,8.8,,42.0,,1.0,1.0,1.63,122.288,78.61
2018-01-02 13:00,8.9,,43.0,,0.0,1.0,1.84,122.288,79.59
2018-01-02 14:00,8.9,,45.0,,0.0,1.0,1.79,122.288,63.48
2018-01-02 15:00,9.5,,45.0,,2.0,1.0,1.42,122.288,32.67
2018-01-02 16:00,9.2,,41.0,,2.0,0.7,0.9,122.288,11.8
2018-01-02 17:00,8.6,,41.0,,3.0,0.8,0.43,122.288,0.84
2018-01-02 18:00,8.8,,40.0,,8.0,0.0,0.02,122.288,0.0
2018-01-02 19:00,8.7,,44.0,,0.0,,,122.288,0.0
2018-01-02 20:00,8.8,,50.0,,,,,122.288,0.0
2018-01-02 21:00,8.5,,61.0,,8.0,,,122.288,0.0
2018-01-02 22:00,8.4,,60.0,,,,,122.288,0.0
2018-01-02 23:00,8.5,,61.0,,,,,122.288,0.0
2018-01-03 00:00,8.4,,72.0,,9.0,,,122.288,0.0
2018-01-03 01:00,8.2,,69.0,,,,,122.288,0.0
2018-01-03 02:00,7.4,,69.0,,,,,122.288,0.0
2018-01-03 03:00,6.4,,53.0,,8.0,,,122.288,0.0
2018-01-03 04:00,6.0,,60.0,,8.0,,,122.288,0.0
2018-01-03 05:00,5.7,,63.0,,9.0,,,122.288,0.0
2018-01-03 06:00,5.3,,58.0,,8.0,,,122.288,0.0
2018-01-03 07:00,5.2,,61.0,,8.0,,,122.288,0.01
2018-01-03 08:00,5.1,,63.0,,8.0,0.0,0.0,122.288,1.94
2018-01-03 09:00,5.0,,64.0,,5.0,0.1,0.15,122.288,13.78
2018-01-03 10:00,6.0,,58.0,,5.0,0.8,0.87,122.288,46.86
2018-01-03 11:00,6.0,,58.0,,6.0,0.7,1.28,122.288,77.29
2018-01-03 12:00,5.6,,61.0,,8.0,0.4,1.24,122.288,84.49
2018-01-03 13:00,6.5,,55.0,,6.0,0.4,1.36,122.288,79.4
2018-01-03 14:00,6.1,,59.0,,8.0,0.5,1.53,122.288,51.6
2018-01-03 15:00,5.4,,59.0,,8.0,0.2,0.81,122.288,33.57
2018-01-03 16:00,5.1,,61.0,,8.0,0.1,0.42,122.288,7.95
2018-01-03 17:00,4.8,,60.0,,8.0,0.0,0.15,122.288,0.34
2018-01-03 18:00,4.4,,63.0,,7.0,0.0,0.03,122.288,0.0
2018-01-03 19:00,4.4,,65.0,,0.0,,,122.288,0.0
2018-01-03 20:00,4.1,,61.0,,5.0,,,122.288,0.0
2018-01-03 21:00,3.8,,60.0,,8.0,,,122.288,0.0
2018-01-03 22:00,3.7,,62.0,,,,,122.288,0.0
2018-01-03 23:00,3.6,,62.0,,,,,122.288,0.0
2018-01-04 00:00,3.7,,64.0,,10.0,,,122.288,0.0
2018-01-04 01:00,3.7,,64.0,,,,,122.288,0.0
2018-01-04 02:00,3.9,,64.0,,,,,122.288,0.0
2018-01-04 03:00,3.9,,66.0,,10.0,,,122.288,0.0
2018-01-04 04:00,3.7,,67.0,,10.0,,,122.288,0.0
2018-01-04 05:00,3.8,,68.0,,10.0,,,122.288,0.0
2018-01-04 06:00,3.9,,70.0,,10.0,,,122.288,0.0
2018-01-04 07:00,4.1,,69.0,,10.0,,,122.288,0.01
2018-01-04 08:00,3.8,,73.0,,10.0,0.0,0.0,122.288,3.56
2018-01-04 09:00,4.0,,69.0,,10.0,0.0,0.06,122.288,9.06
2018-01-04 10:00,4.0,,69.0,,10.0,0.0,0.26,122.288,18.63
2018-01-04 11:00,4.2,,69.0,,10.0,0.0,0.36,122.288,23.79
2018-01-04 12:00,4.5,,67.0,,10.0,0.0,0.39,122.288,27.77
2018-01-04 13:00,4.2,,69.0,,10.0,0.0,0.35,122.288,20.39
2018-01-04 14:00,4.3,,68.0,,10.0,0.0,0.28,122.288,14.14
2018-01-04 15:00,4.2,,68.0,,10.0,0.0,0.24,122.288,8.61
2018-01-04 16:00,4.3,,66.0,,10.0,0.0,0.15,122.288,2.71
2018-01-04 17:00,4.3,,65.0,,10.0,0.0,0.1,122.288,0.2
2018-01-04 18:00,4.4,,63.0,,10.0,0.0,0.0,122.288,0.0
2018-01-04 19:00,4.5,,64.0,,0.0,,,122.288,0.0
2018-01-04 20:00,4.4,,66.0,,,,,122.288,0.0
2018-01-04 21:00,4.1,,67.0,,10.0,,,122.288,0.0
2018-01-04 22:00,4.0,,69.0,,10.0,,,122.288,0.0
2018-01-04 23:00,3.2,,81.0,,10.0,,,122.288,0.0
2018-01-05 00:00,2.5,0.6,90.0,,10.0,,,122.288,0.0
2018-01-05 01:00,2.0,,92.0,,10.0,,,122.288,0.0
2018-01-05 02:00,2.1,,93.0,,10.0,,,122.288,0.0
2018-01-05 03:00,2.0,2.8,94.0,,10.0,,,122.288,0.0
2018-01-05 04:00,2.2,,93.0,,10.0,,,122.288,0.0
2018-01-05 05:00,2.9,,92.0,,10.0,,,122.288,0.0
2018-01-05 06:00,4.0,1.4,84.0,,10.0,,,122.288,0.0
2018-01-05 07:00,4.3,,74.0,,10.0,,,122.288,0.0
2018-01-05 08:00,4.4,,79.0,,10.0,0.0,0.0,122.288,0.49
2018-01-05 09:00,4.6,0.0,72.0,,10.0,0.0,0.03,122.288,6.45
2018-01-05 10:00,4.9,,73.0,,10.0,0.0,0.12,122.288,15.93
2018-01-05 11:00,5.3,,68.0,,10.0,0.0,0.22,122.288,22.09
2018-01-05 12:00,5.7,,68.0,,10.0,0.0,0.26,122.288,21.03
2018-01-05 13:00,5.8,,71.0,,10.0,0.0,0.2,122.288,14.43
2018-01-05 14:00,6.1,,67.0,,10.0,0.0,0.13,122.288,11.12
2018-01-05 15:00,6.1,,64.0,,10.0,0.0,0.12,122.288,8.12
2018-01-05 16:00,6.1,,61.0,,9.0,0.0,0.15,122.288,2.4
2018-01-05 17:00,6.2,,63.0,,9.0,0.0,0.03,122.288,0.09
2018-01-05 18:00,6.4,,64.0,,10.0,0.0,0.0,122.288,0.0
2018-01-05 19:00,6.2,,62.0,,0.0,,,122.288,0.0
2018-01-05 20:00,6.1,,63.0,,,,,122.288,0.0
2018-01-05 21:00,6.0,,61.0,,10.0,,,122.288,0.0
2018-01-05 22:00,5.9,,61.0,,,,,122.288,0.0
2018-01-05 23:00,6.0,,62.0,,,,,122.288,0.0
2018-01-06 00:00,5.7,,57.0,,9.0,,,122.288,0.0
2018-01-06 01:00,6.0,,58.0,,,,,122.288,0.0
2018-01-06 02:00,5.7,,60.0,,,,,122.288,0.0
2018-01-06 03:00,5.8,,62.0,,9.0,,,122.288,0.0
2018-01-06 04:00,5.6,,59.0,,9.0,,,122.288,0.0
2018-01-06 05:00,5.8,,63.0,,9.0,,,122.288,0.0
2018-01-06 06:00,5.8,,66.0,,9.0,,,122.288,0.0
2018-01-06 07:00,5.6,,64.0,,8.0,,,122.288,0.13
2018-01-06 08:00,5.5,,62.0,,9.0,0.0,0.0,122.288,6.66
2018-01-06 09:00,5.4,,59.0,,8.0,0.0,0.14,122.288,25.75
2018-01-06 10:00,5.8,,60.0,,8.0,0.1,0.44,122.288,49.78
2018-01-06 11:00,6.6,,57.0,,7.0,0.4,1.02,122.288,72.5
2018-01-06 12:00,7.7,,53.0,,5.0,0.7,1.73,122.288,83.96
2018-01-06 13:00,7.0,,56.0,,6.0,0.5,1.52,122.288,80.19
2018-01-06 14:00,7.7,,55.0,,5.0,0.9,2.04,122.288,68.87
2018-01-06 15:00,7.8,,55.0,,4.0,0.8,1.57,122.288,51.15
2018-01-06 16:00,7.4,,52.0,,1.0,0.9,1.11,122.288,11.94
2018-01-06 17:00,6.6,,56.0,,7.0,0.2,0.32,122.288,0.74
2018-01-06 18:00,6.4,,56.0,,6.0,0.0,0.03,122.288,0.0
