시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
강원,295.334,2020-01-01 00:00,-3.0,,24.0,,4.3,0.0,1.0,,0.0,,0.01,Y
강원,295.334,2020-01-01 01:00,-2.3,,37.0,,5.2,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 02:00,-1.6,,38.0,,3.9,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 03:00,-1.4,,45.0,,5.6,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 04:00,-0.9,,46.0,,5.1,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 05:00,-1.0,,48.0,,4.2,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 06:00,-0.7,,48.0,,3.7,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 07:00,-0.4,,48.0,,4.2,0.0,1.0,,0.0,,0.15,Y
강원,295.334,2020-01-01 08:00,0.0,,47.0,,4.8,0.0,1.0,0.0,0.19,0.01,10.78,Y
강원,295.334,2020-01-01 09:00,1.5,,43.0,,3.8,0.0,1.0,1.0,1.03,0.36,40.76,Y
강원,295.334,2020-01-01 10:00,2.9,,39.0,,4.2,0.0,1.0,1.0,1.71,0.96,64.49,Y
강원,295.334,2020-01-01 11:00,4.3,,36.0,,3.9,0.0,1.0,1.0,2.19,1.45,85.3,Y
강원,295.334,2020-01-01 12:00,5.4,,34.0,,3.7,0.0,1.0,1.0,2.44,1.72,95.02,Y
강원,295.334,2020-01-01 13:00,5.7,,34.0,,4.5,0.0,1.0,1.0,2.44,1.87,96.89,Y
강원,295.334,2020-01-01 14:00,6.0,,34.0,,4.0,0.0,1.0,1.0,2.19,1.77,77.81,Y
강원,295.334,2020-01-01 15:00,5.1,,36.0,,4.7,0.0,1.0,1.0,1.71,1.43,51.51,Y
강원,295.334,2020-01-01 16:00,4.1,,37.0,,5.7,1.0,1.0,1.0,1.03,0.95,16.94,Y
강원,295.334,2020-01-01 17:00,2.4,,43.0,,5.8,0.0,1.0,0.6,0.19,0.33,4.47,Y
강원,295.334,2020-01-01 18:00,1.8,,45.0,,4.8,0.0,1.0,0.0,0.0,0.01,15.91,Y
