시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
경기,174.577,2020-01-01 00:00,-6.0,,64.0,,1.5,9.0,3.0,,0.0,,0.04,Y
경기,174.577,2020-01-01 01:00,-6.3,,74.0,,2.4,9.0,3.0,,0.0,,0.01,Y
경기,174.577,2020-01-01 02:00,-6.2,,70.0,,1.6,6.0,2.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 03:00,-5.8,0.0,65.0,,1.6,7.0,2.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 04:00,-5.4,,64.0,,1.3,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 05:00,-5.1,,67.0,,1.0,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 06:00,-4.9,0.0,68.0,,2.0,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 07:00,-4.7,,70.0,,1.9,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 08:00,-4.5,,75.0,,1.6,9.0,3.0,0.0,0.21,0.0,1.79,Y
경기,174.577,2020-01-01 09:00,-3.9,,79.0,,1.2,9.0,3.0,0.0,1.05,0.02,9.63,Y
경기,174.577,2020-01-01 10:00,-3.5,,82.0,,1.5,9.0,3.0,0.0,1.74,0.18,20.45,Y
경기,174.577,2020-01-01 11:00,-3.0,,83.0,,1.5,9.0,3.0,0.0,2.22,0.24,23.64,Y
경기,174.577,2020-01-01 12:00,-2.5,,79.0,,1.4,9.0,3.0,0.0,2.47,0.38,29.05,Y
경기,174.577,2020-01-01 13:00,-1.5,,80.0,,1.7,9.0,3.0,0.0,2.47,0.73,33.54,Y
경기,174.577,2020-01-01 14:00,-0.5,,79.0,,1.1,9.0,3.0,0.0,2.22,0.75,24.62,Y
경기,174.577,2020-01-01 15:00,0.0,,79.0,,1.2,9.0,3.0,0.0,1.74,0.52,17.22,Y
경기,174.577,2020-01-01 16:00,0.2,,80.0,,1.2,8.0,2.0,0.0,1.05,0.34,5.64,Y
경기,174.577,2020-01-01 17:00,0.1,,85.0,,0.7,9.0,3.0,0.0,0.21,0.11,2.31,Y
경기,174.577,2020-01-01 18:00,0.0,,87.0,,1.2,9.0,3.0,0.0,0.0,0.0,2.13,Y
경기,174.577,2020-01-01 19:00,-0.1,,89.0,,1.0,0.0,1.0,,0.0,,0.59,Y
경기,174.577,2020-01-01 20:00,-0.3,,90.0,,0.7,0.0,1.0,,0.0,,0.02,Y
경기,174.577,2020-01-01 21:00,0.0,,87.0,,0.2,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 22:00,-0.1,,89.0,,0.4,10.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-01 23:00,0.0,,90.0,,0.3,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 00:00,-0.2,,90.0,,0.7,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 01:00,-0.2,,87.0,,0.6,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 02:00,0.0,,83.0,,0.6,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 03:00,0.0,,81.0,,0.6,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 04:00,-0.3,,84.0,,0.1,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 05:00,-0.3,,84.0,,0.4,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 06:00,0.1,,82.0,,0.3,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 07:00,0.3,,82.0,,0.9,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 08:00,0.1,,83.0,,0.3,9.0,3.0,0.0,0.22,0.0,2.14,Y
경기,174.577,2020-01-02 09:00,0.8,,81.0,,0.6,9.0,3.0,0.0,1.06,0.06,11.01,Y
경기,174.577,2020-01-02 10:00,1.6,,78.0,,0.9,9.0,3.0,0.0,1.74,0.26,20.43,Y
경기,174.577,2020-01-02 11:00,2.1,,77.0,,1.2,9.0,3.0,0.0,2.23,0.46,26.35,Y
경기,174.577,2020-01-02 12:00,2.4,,77.0,,1.4,9.0,3.0,0.0,2.48,0.42,22.84,Y
경기,174.577,2020-01-02 13:00,2.4,,78.0,,1.3,9.0,3.0,0.0,2.48,0.28,17.18,Y
경기,174.577,2020-01-02 14:00,2.6,,76.0,,0.8,9.0,3.0,0.0,2.23,0.24,10.58,Y
경기,174.577,2020-01-02 15:00,3.0,,77.0,,0.6,9.0,3.0,0.0,1.74,0.15,7.36,Y
경기,174.577,2020-01-02 16:00,3.2,,80.0,,1.1,9.0,3.0,0.0,1.06,0.19,3.04,Y
경기,174.577,2020-01-02 17:00,2.8,,82.0,,0.5,9.0,3.0,0.0,0.22,0.08,2.46,Y
경기,174.577,2020-01-02 18:00,2.2,,84.0,,0.8,8.0,2.0,0.0,0.0,0.0,0.61,Y
경기,174.577,2020-01-02 19:00,1.0,,88.0,,0.6,0.0,1.0,,0.0,,0.26,Y
경기,174.577,2020-01-02 20:00,0.8,,90.0,,0.5,0.0,1.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 21:00,0.8,,92.0,,0.1,9.0,3.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 22:00,1.5,,88.0,,0.8,0.0,1.0,,0.0,,0.0,Y
경기,174.577,2020-01-02 23:00,0.8,,91.0,,0.4,0.0,1.0,,0.0,,0.0,Y
