시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
경남,236.505,2020-01-01 00:00,-3.5,,23.0,,2.8,0.0,1.0,,0.0,,1.22,Y
경남,236.505,2020-01-01 01:00,-3.9,,20.0,,2.8,0.0,1.0,,0.0,,0.4,Y
경남,236.505,2020-01-01 02:00,-4.5,,21.0,,3.0,0.0,1.0,,0.0,,0.26,Y
경남,236.505,2020-01-01 03:00,-4.5,,29.0,,2.8,0.0,1.0,,0.0,,0.0,Y
경남,236.505,2020-01-01 04:00,-4.2,,40.0,,4.3,0.0,1.0,,0.0,,0.39,Y
경남,236.505,2020-01-01 05:00,-4.2,,44.0,,1.8,5.0,1.0,,0.0,,0.99,Y
경남,236.505,2020-01-01 06:00,-4.3,,44.0,,1.3,6.0,2.0,,0.0,,0.53,Y
경남,236.505,2020-01-01 07:00,-3.7,,46.0,,1.6,5.0,1.0,,0.0,,0.46,Y
경남,236.505,2020-01-01 08:00,-3.1,,49.0,,0.8,6.0,2.0,0.2,0.31,0.01,18.91,Y
경남,236.505,2020-01-01 09:00,-1.9,,50.0,,2.2,5.0,1.0,1.0,1.17,0.31,67.64,Y
경남,236.505,2020-01-01 10:00,0.4,,51.0,,3.1,2.0,1.0,1.0,1.87,0.89,92.07,Y
경남,236.505,2020-01-01 11:00,1.9,,49.0,,2.6,0.0,1.0,1.0,2.37,1.41,109.73,Y
경남,236.505,2020-01-01 12:00,2.8,,48.0,,3.4,0.0,1.0,1.0,2.63,1.74,115.33,Y
경남,236.505,2020-01-01 13:00,3.3,,46.0,,3.2,0.0,1.0,1.0,2.63,1.83,124.44,Y
경남,236.505,2020-01-01 14:00,4.0,,44.0,,2.9,0.0,1.0,1.0,2.37,1.69,108.83,Y
경남,236.505,2020-01-01 15:00,4.7,,42.0,,2.7,0.0,1.0,1.0,1.87,1.39,69.45,Y
경남,236.505,2020-01-01 16:00,4.6,,43.0,,0.9,0.0,1.0,1.0,1.17,0.9,21.03,Y
경남,236.505,2020-01-01 17:00,3.5,,45.0,,0.6,0.0,1.0,0.5,0.31,0.25,8.89,Y
경남,236.505,2020-01-01 18:00,2.5,,48.0,,0.9,0.0,1.0,0.0,0.0,0.01,26.84,Y
경남,236.505,2020-01-01 19:00,2.3,,48.0,,0.8,0.0,1.0,,0.0,,29.46,Y
경남,236.505,2020-01-01 20:00,2.4,,46.0,,1.2,0.0,1.0,,0.0,,15.17,Y
경남,236.505,2020-01-01 21:00,1.8,,48.0,,1.5,0.0,1.0,,0.0,,6.18,Y
경남,236.505,2020-01-01 22:00,1.5,,50.0,,1.6,0.0,1.0,,0.0,,2.81,Y
경남,236.505,2020-01-01 23:00,1.3,,51.0,,1.7,0.0,1.0,,0.0,,1.92,Y
경남,236.505,2020-01-02 00:00,0.9,,54.0,,3.1,0.0,1.0,,0.0,,1.26,Y
경남,236.505,2020-01-02 01:00,0.7,,57.0,,2.7,0.0,1.0,,0.0,,0.4,Y
경남,236.505,2020-01-02 02:00,0.4,,59.0,,3.4,0.0,1.0,,0.0,,0.2,Y
경남,236.505,2020-01-02 03:00,0.2,,59.0,,2.4,0.0,1.0,,0.0,,0.0,Y
경남,236.505,2020-01-02 04:00,-0.2,,61.0,,1.6,0.0,1.0,,0.0,,0.39,Y
경남,236.505,2020-01-02 05:00,0.1,,61.0,,1.4,3.0,1.0,,0.0,,1.0,Y
경남,236.505,2020-01-02 06:00,0.2,,59.0,,1.6,0.0,1.0,,0.0,,0.54,Y
경남,236.505,2020-01-02 07:00,0.5,,57.0,,1.5,0.0,1.0,,0.0,,0.34,Y
경남,236.505,2020-01-02 08:00,0.3,,59.0,,1.5,1.0,1.0,0.0,0.31,0.0,15.81,Y
경남,236.505,2020-01-02 09:00,1.8,,56.0,,1.8,0.0,1.0,1.0,1.18,0.29,58.11,Y
경남,236.505,2020-01-02 10:00,2.4,,53.0,,2.8,0.0,1.0,1.0,1.88,0.82,79.7,Y
경남,236.505,2020-01-02 11:00,3.7,,50.0,,4.3,0.0,1.0,1.0,2.38,1.29,97.28,Y
경남,236.505,2020-01-02 12:00,4.9,,47.0,,2.6,0.0,1.0,1.0,2.63,1.58,102.99,Y
경남,236.505,2020-01-02 13:00,5.3,,46.0,,3.8,0.0,1.0,1.0,2.63,1.68,107.46,Y
경남,236.505,2020-01-02 14:00,6.5,,42.0,,2.2,0.0,1.0,1.0,2.38,1.55,96.22,Y
경남,236.505,2020-01-02 15:00,6.8,,41.0,,2.6,0.0,1.0,1.0,1.88,1.25,60.97,Y
경남,236.505,2020-01-02 16:00,7.0,,42.0,,2.2,0.0,1.0,1.0,1.18,0.79,19.65,Y
경남,236.505,2020-01-02 17:00,6.1,,45.0,,1.5,0.0,1.0,0.5,0.31,0.25,8.93,Y
경남,236.505,2020-01-02 18:00,5.0,,49.0,,1.1,0.0,1.0,0.0,0.0,0.0,26.84,Y
경남,236.505,2020-01-02 19:00,4.5,,51.0,,1.3,0.0,1.0,,0.0,,29.34,Y
경남,236.505,2020-01-02 20:00,4.3,,51.0,,1.3,0.0,1.0,,0.0,,15.46,Y
경남,236.505,2020-01-02 21:00,3.7,,54.0,,1.6,0.0,1.0,,0.0,,6.49,Y
경남,236.505,2020-01-02 22:00,2.9,,57.0,,1.6,0.0,1.0,,0.0,,2.68,Y
경남,236.505,2020-01-02 23:00,2.5,,59.0,,1.4,0.0,1.0,,0.0,,1.55,Y
경남,236.505,2020-01-03 00:00,2.3,,59.0,,1.5,0.0,1.0,,0.0,,1.2,Y
경남,236.505,2020-01-03 01:00,2.2,,58.0,,1.6,0.0,1.0,,0.0,,0.41,Y
경남,236.505,2020-01-03 02:00,1.3,,62.0,,1.6,0.0,1.0,,0.0,,0.13,Y
경남,236.505,2020-01-03 03:00,1.8,,57.0,,1.6,0.0,1.0,,0.0,,0.0,Y
경남,236.505,2020-01-03 04:00,2.1,,58.0,,1.4,0.0,1.0,,0.0,,0.39,Y
경남,236.505,2020-01-03 05:00,1.7,,61.0,,1.9,0.0,1.0,,0.0,,1.0,Y
경남,236.505,2020-01-03 06:00,1.2,,61.0,,0.8,0.0,1.0,,0.0,,0.54,Y
경남,236.505,2020-01-03 07:00,0.5,,67.0,,0.8,1.0,1.0,,0.0,,0.36,Y
경남,236.505,2020-01-03 08:00,0.9,,65.0,,1.3,0.0,1.0,0.0,0.32,0.01,16.31,Y
경남,236.505,2020-01-03 09:00,1.9,,65.0,,1.6,0.0,1.0,1.0,1.18,0.3,60.39,Y
경남,236.505,2020-01-03 10:00,3.3,,59.0,,2.9,2.0,1.0,1.0,1.89,0.84,81.68,Y
경남,236.505,2020-01-03 11:00,4.4,,53.0,,5.0,3.0,1.0,1.0,2.38,1.31,98.08,Y
경남,236.505,2020-01-03 12:00,5.4,,49.0,,3.8,5.0,1.0,1.0,2.64,1.63,107.56,Y
경남,236.505,2020-01-03 13:00,6.0,,48.0,,4.4,0.0,1.0,1.0,2.64,1.81,113.97,Y
경남,236.505,2020-01-03 14:00,6.9,,45.0,,4.4,1.0,1.0,1.0,2.38,1.67,103.73,Y
경남,236.505,2020-01-03 15:00,7.8,,41.0,,1.9,0.0,1.0,1.0,1.89,1.34,66.38,Y
경남,236.505,2020-01-03 16:00,7.7,,41.0,,1.9,0.0,1.0,1.0,1.18,0.87,20.58,Y
경남,236.505,2020-01-03 17:00,6.9,,42.0,,1.7,2.0,1.0,0.5,0.32,0.27,9.0,Y
경남,236.505,2020-01-03 18:00,6.5,,41.0,,1.1,0.0,1.0,0.0,0.0,0.0,26.85,Y
경남,236.505,2020-01-03 19:00,4.9,,46.0,,0.9,0.0,1.0,,0.0,,29.36,Y
경남,236.505,2020-01-03 20:00,5.0,,38.0,,1.3,0.0,1.0,,0.0,,15.48,Y
경남,236.505,2020-01-03 21:00,5.2,,33.0,,1.0,0.0,1.0,,0.0,,6.65,Y
경남,236.505,2020-01-03 22:00,5.0,,34.0,,1.4,6.0,2.0,,0.0,,2.77,Y
경남,236.505,2020-01-03 23:00,3.9,,40.0,,1.0,0.0,1.0,,0.0,,1.66,Y
경남,236.505,2020-01-04 00:00,2.8,,46.0,,1.2,0.0,1.0,,0.0,,0.53,Y
경남,236.505,2020-01-04 01:00,2.8,,40.0,,1.7,0.0,1.0,,0.0,,0.4,Y
경남,236.505,2020-01-04 02:00,2.6,,43.0,,1.0,0.0,1.0,,0.0,,0.15,Y
경남,236.505,2020-01-04 03:00,2.1,,43.0,,1.4,0.0,1.0,,0.0,,0.0,Y
경남,236.505,2020-01-04 04:00,2.8,,37.0,,1.8,0.0,1.0,,0.0,,0.39,Y
경남,236.505,2020-01-04 05:00,2.4,,37.0,,1.2,7.0,2.0,,0.0,,0.99,Y
경남,236.505,2020-01-04 06:00,2.3,,35.0,,1.3,6.0,2.0,,0.0,,0.54,Y
경남,236.505,2020-01-04 07:00,2.0,,35.0,,0.8,6.0,2.0,,0.0,,0.32,Y
경남,236.505,2020-01-04 08:00,2.1,,35.0,,1.4,7.0,2.0,0.0,0.32,0.0,14.2,Y
경남,236.505,2020-01-04 09:00,2.7,,38.0,,1.6,8.0,2.0,0.5,1.19,0.33,45.75,Y
경남,236.505,2020-01-04 10:00,3.8,,36.0,,1.5,8.0,2.0,0.7,1.89,0.72,66.26,Y
경남,236.505,2020-01-04 11:00,3.8,,37.0,,1.9,8.0,2.0,0.7,2.39,1.05,94.3,Y
경남,236.505,2020-01-04 12:00,4.6,,42.0,,3.9,7.0,2.0,1.0,2.65,1.48,107.99,Y
경남,236.505,2020-01-04 13:00,5.8,,40.0,,4.0,0.0,1.0,1.0,2.65,1.72,114.48,Y
경남,236.505,2020-01-04 14:00,6.9,,37.0,,3.2,0.0,1.0,1.0,2.39,1.68,103.56,Y
경남,236.505,2020-01-04 15:00,7.7,,38.0,,1.4,0.0,1.0,1.0,1.89,1.35,68.06,Y
경남,236.505,2020-01-04 16:00,7.7,,38.0,,1.4,0.0,1.0,1.0,1.19,0.84,21.91,Y
경남,236.505,2020-01-04 17:00,7.2,,38.0,,1.3,0.0,1.0,0.5,0.32,0.26,9.7,Y
경남,236.505,2020-01-04 18:00,6.4,,37.0,,1.3,0.0,1.0,0.0,0.0,0.01,27.29,Y
경남,236.505,2020-01-04 19:00,5.6,,40.0,,0.7,0.0,1.0,,0.0,,29.12,Y
경남,236.505,2020-01-04 20:00,5.3,,39.0,,1.4,0.0,1.0,,0.0,,15.37,Y
경남,236.505,2020-01-04 21:00,4.5,,40.0,,1.1,0.0,1.0,,0.0,,6.28,Y
경남,236.505,2020-01-04 22:00,4.4,,40.0,,1.1,0.0,1.0,,0.0,,2.57,Y
경남,236.505,2020-01-04 23:00,3.8,,42.0,,1.0,0.0,1.0,,0.0,,1.5,Y
경남,236.505,2020-01-05 00:00,3.7,,38.0,,1.1,0.0,1.0,,0.0,,1.22,Y
경남,236.505,2020-01-05 01:00,3.4,,40.0,,0.9,0.0,1.0,,0.0,,0.42,Y
경남,236.505,2020-01-05 02:00,2.9,,45.0,,1.2,0.0,1.0,,0.0,,0.16,Y
경남,236.505,2020-01-05 03:00,0.9,,54.0,,0.3,0.0,1.0,,0.0,,0.0,Y
경남,236.505,2020-01-05 04:00,1.4,,54.0,,1.5,0.0,1.0,,0.0,,0.39,Y
경남,236.505,2020-01-05 05:00,0.1,,56.0,,0.3,0.0,1.0,,0.0,,0.99,Y
경남,236.505,2020-01-05 06:00,1.2,,55.0,,2.2,0.0,1.0,,0.0,,0.54,Y
경남,236.505,2020-01-05 07:00,1.0,,56.0,,2.2,0.0,1.0,,0.0,,0.3,Y
경남,236.505,2020-01-05 08:00,0.1,,58.0,,1.7,0.0,1.0,0.2,0.33,0.01,18.13,Y
경남,236.505,2020-01-05 09:00,1.8,,56.0,,2.0,0.0,1.0,1.0,1.19,0.31,69.15,Y
경남,236.505,2020-01-05 10:00,3.1,,46.0,,3.3,0.0,1.0,1.0,1.9,0.89,91.69,Y
경남,236.505,2020-01-05 11:00,4.6,,41.0,,3.0,0.0,1.0,1.0,2.4,1.39,109.95,Y
경남,236.505,2020-01-05 12:00,5.9,,35.0,,3.0,0.0,1.0,1.0,2.66,1.71,117.63,Y
경남,236.505,2020-01-05 13:00,7.6,,28.0,,2.8,0.0,1.0,1.0,2.66,1.85,128.77,Y
경남,236.505,2020-01-05 14:00,8.6,,35.0,,2.1,0.0,1.0,1.0,2.4,1.76,108.88,Y
경남,236.505,2020-01-05 15:00,9.8,,27.0,,1.8,0.0,1.0,1.0,1.9,1.41,60.58,Y
경남,236.505,2020-01-05 16:00,9.0,,31.0,,0.9,5.0,1.0,0.9,1.19,0.7,21.47,Y
경남,236.505,2020-01-05 17:00,7.7,,39.0,,0.0,7.0,2.0,0.5,0.33,0.28,9.75,Y
경남,236.505,2020-01-05 18:00,6.2,,41.0,,0.8,4.0,1.0,0.0,0.0,0.01,21.54,Y
경남,236.505,2020-01-05 19:00,5.4,,44.0,,0.6,5.0,1.0,,0.0,,22.63,Y
경남,236.505,2020-01-05 20:00,4.5,,50.0,,0.3,10.0,3.0,,0.0,,14.41,Y
경남,236.505,2020-01-05 21:00,3.7,,52.0,,0.5,4.0,1.0,,0.0,,6.03,Y
경남,236.505,2020-01-05 22:00,3.4,,55.0,,0.9,8.0,2.0,,0.0,,2.78,Y
경남,236.505,2020-01-05 23:00,2.9,,53.0,,0.1,7.0,2.0,,0.0,,1.89,Y
경남,236.505,2020-01-06 00:00,3.2,,55.0,,1.2,0.0,1.0,,0.0,,1.23,Y
경남,236.505,2020-01-06 01:00,3.1,,49.0,,0.7,0.0,1.0,,0.0,,0.4,Y
경남,236.505,2020-01-06 02:00,2.5,,56.0,,1.2,9.0,3.0,,0.0,,0.23,Y
경남,236.505,2020-01-06 03:00,2.7,,52.0,,1.2,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-06 04:00,2.9,,52.0,,0.9,10.0,3.0,,0.0,,0.39,Y
경남,236.505,2020-01-06 05:00,2.6,,49.0,,0.7,8.0,2.0,,0.0,,0.99,Y
경남,236.505,2020-01-06 06:00,2.8,,45.0,,1.5,10.0,3.0,,0.0,,0.54,Y
경남,236.505,2020-01-06 07:00,2.3,,56.0,,1.0,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-06 08:00,1.6,,77.0,,0.9,10.0,3.0,0.0,0.34,0.0,2.73,Y
경남,236.505,2020-01-06 09:00,2.0,1.0,65.0,,1.2,10.0,3.0,0.0,1.2,0.02,13.23,Y
경남,236.505,2020-01-06 10:00,2.1,,69.0,,1.8,10.0,3.0,0.0,1.91,0.16,11.54,Y
경남,236.505,2020-01-06 11:00,2.1,,76.0,,1.1,10.0,3.0,0.0,2.4,0.26,11.67,Y
경남,236.505,2020-01-06 12:00,2.6,0.0,79.0,,1.3,10.0,3.0,0.0,2.66,0.29,10.05,Y
경남,236.505,2020-01-06 13:00,2.3,,88.0,,0.6,10.0,3.0,0.0,2.66,0.17,10.35,Y
경남,236.505,2020-01-06 14:00,2.7,,89.0,,1.0,10.0,3.0,0.0,2.4,0.19,8.98,Y
경남,236.505,2020-01-06 15:00,2.9,2.4,90.0,,1.4,10.0,3.0,0.0,1.91,0.19,4.64,Y
경남,236.505,2020-01-06 16:00,3.0,,91.0,,1.5,10.0,3.0,0.0,1.2,0.08,1.23,Y
경남,236.505,2020-01-06 17:00,3.3,,92.0,,0.6,10.0,3.0,0.0,0.34,0.03,0.88,Y
경남,236.505,2020-01-06 18:00,3.2,2.6,93.0,,0.3,10.0,3.0,0.0,0.0,0.0,5.58,Y
경남,236.505,2020-01-06 19:00,3.2,,93.0,,0.8,10.0,3.0,,0.0,,0.56,Y
경남,236.505,2020-01-06 20:00,3.3,,93.0,,0.7,10.0,3.0,,0.0,,0.49,Y
경남,236.505,2020-01-06 21:00,3.1,1.0,93.0,,1.1,10.0,3.0,,0.0,,0.06,Y
경남,236.505,2020-01-06 22:00,3.2,,94.0,,0.5,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-06 23:00,3.3,,95.0,,0.1,10.0,3.0,,0.0,,0.24,Y
경남,236.505,2020-01-07 00:00,3.5,3.7,95.0,,0.7,10.0,3.0,,0.0,,0.1,Y
경남,236.505,2020-01-07 01:00,3.7,,96.0,,1.1,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-07 02:00,3.7,,96.0,,0.6,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-07 03:00,3.9,7.2,95.0,,1.3,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-07 04:00,4.0,,96.0,,1.2,10.0,3.0,,0.0,,0.2,Y
경남,236.505,2020-01-07 05:00,4.2,,96.0,,0.5,10.0,3.0,,0.0,,0.01,Y
경남,236.505,2020-01-07 06:00,4.4,4.6,96.0,,0.1,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-07 07:00,4.7,,96.0,,0.4,10.0,3.0,,0.0,,0.0,Y
경남,236.505,2020-01-07 08:00,5.0,,95.0,,1.7,10.0,3.0,0.0,0.34,0.0,0.27,Y
경남,236.505,2020-01-07 09:00,5.0,0.2,94.0,,0.5,10.0,3.0,0.0,1.21,0.0,2.3,Y
