시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
경북,414.398,2020-01-01 00:00,-6.5,,44.0,,1.1,0.0,1.0,,0.0,,0.41,Y
경북,414.398,2020-01-01 01:00,-6.8,,42.0,,1.6,0.0,1.0,,0.0,,1.09,Y
경북,414.398,2020-01-01 02:00,-8.0,,47.0,,1.6,0.0,1.0,,0.0,,1.18,Y
경북,414.398,2020-01-01 03:00,-8.0,,49.0,,2.7,0.0,1.0,,0.0,,0.26,Y
경북,414.398,2020-01-01 04:00,-8.4,,55.0,,1.7,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-01 05:00,-8.4,,59.0,,2.0,0.0,1.0,,0.0,,0.01,Y
경북,414.398,2020-01-01 06:00,-8.5,,61.0,,1.4,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-01 07:00,-8.4,,65.0,,1.6,3.0,1.0,,0.0,,0.21,Y
경북,414.398,2020-01-01 08:00,-8.4,,68.0,,1.2,3.0,1.0,0.0,0.25,0.0,18.52,Y
경북,414.398,2020-01-01 09:00,-5.1,,64.0,,0.8,5.0,1.0,1.0,1.09,0.42,67.68,Y
경북,414.398,2020-01-01 10:00,-3.2,,61.0,,1.5,6.0,2.0,1.0,1.79,1.05,90.41,Y
경북,414.398,2020-01-01 11:00,-0.9,,58.0,,2.1,6.0,2.0,0.6,2.27,0.87,125.48,Y
경북,414.398,2020-01-01 12:00,2.1,,49.0,,5.5,4.0,1.0,0.9,2.53,1.8,148.85,Y
경북,414.398,2020-01-01 13:00,3.0,,49.0,,4.5,7.0,2.0,1.0,2.53,2.02,158.94,Y
경북,414.398,2020-01-01 14:00,3.2,,48.0,,4.6,4.0,1.0,1.0,2.27,1.59,143.94,Y
경북,414.398,2020-01-01 15:00,2.9,,50.0,,4.4,5.0,1.0,1.0,1.79,1.37,87.98,Y
경북,414.398,2020-01-01 16:00,2.9,,50.0,,3.6,2.0,1.0,1.0,1.09,0.86,31.99,Y
경북,414.398,2020-01-01 17:00,1.0,,56.0,,3.5,2.0,1.0,0.3,0.25,0.23,12.13,Y
경북,414.398,2020-01-01 18:00,0.0,,60.0,,2.0,2.0,1.0,0.0,0.0,0.01,28.7,Y
경북,414.398,2020-01-01 19:00,-1.0,,65.0,,2.4,0.0,1.0,,0.0,,31.2,Y
경북,414.398,2020-01-01 20:00,-0.9,,70.0,,0.4,0.0,1.0,,0.0,,45.87,Y
경북,414.398,2020-01-01 21:00,-1.0,,68.0,,1.2,0.0,1.0,,0.0,,30.82,Y
경북,414.398,2020-01-01 22:00,-2.4,,75.0,,0.1,0.0,1.0,,0.0,,8.38,Y
경북,414.398,2020-01-01 23:00,-3.0,,79.0,,0.8,0.0,1.0,,0.0,,1.19,Y
경북,414.398,2020-01-02 00:00,-3.3,,79.0,,0.0,0.0,1.0,,0.0,,0.36,Y
경북,414.398,2020-01-02 01:00,-3.9,,82.0,,0.0,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 02:00,-4.7,,83.0,,0.3,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 03:00,-5.0,,85.0,,0.0,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 04:00,-6.0,,87.0,,0.0,0.0,1.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 05:00,-6.1,,89.0,,0.0,6.0,2.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 06:00,-6.0,,88.0,,0.0,6.0,2.0,,0.0,,0.0,Y
경북,414.398,2020-01-02 07:00,-6.4,,88.0,,0.0,7.0,2.0,,0.0,,0.44,Y
경북,414.398,2020-01-02 08:00,-6.4,,88.0,,0.8,5.0,1.0,0.0,0.25,0.01,20.98,Y
경북,414.398,2020-01-02 09:00,-5.4,,90.0,,0.2,4.0,1.0,0.9,1.1,0.37,72.78,Y
경북,414.398,2020-01-02 10:00,-3.4,,85.0,,0.7,2.0,1.0,1.0,1.79,0.92,102.16,Y
경북,414.398,2020-01-02 11:00,0.7,,70.0,,1.1,2.0,1.0,0.9,2.28,1.01,127.63,Y
