시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
광주,56.401,2020-01-01 00:00,-4.9,,50.0,,3.6,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 01:00,-4.6,,48.0,,3.7,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 02:00,-4.7,,50.0,,3.8,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 03:00,-4.5,,52.0,,2.4,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 04:00,-3.5,,48.0,,1.7,10.0,3.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 05:00,-3.0,,51.0,,1.8,10.0,3.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 06:00,-3.6,,58.0,,1.3,10.0,3.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 07:00,-3.8,,59.0,,0.5,10.0,3.0,,0.0,,0.02,Y
광주,56.401,2020-01-01 08:00,-3.7,,59.0,,0.3,8.0,2.0,0.0,0.31,0.07,2.79,Y
광주,56.401,2020-01-01 09:00,-2.5,,54.0,,0.6,8.0,2.0,0.7,1.17,0.45,8.89,Y
광주,56.401,2020-01-01 10:00,-1.0,,53.0,,0.8,6.0,2.0,0.4,1.88,0.75,12.68,Y
광주,56.401,2020-01-01 11:00,0.2,,50.0,,0.9,9.0,3.0,0.4,2.38,1.08,12.86,Y
광주,56.401,2020-01-01 12:00,1.6,,49.0,,0.9,8.0,2.0,0.0,2.63,0.98,13.46,Y
광주,56.401,2020-01-01 13:00,3.1,,51.0,,0.9,9.0,3.0,0.0,2.63,1.11,13.35,Y
광주,56.401,2020-01-01 14:00,3.9,,51.0,,1.3,9.0,3.0,0.0,2.38,1.04,16.14,Y
광주,56.401,2020-01-01 15:00,4.3,,50.0,,3.3,8.0,2.0,0.4,1.88,1.27,11.92,Y
광주,56.401,2020-01-01 16:00,4.7,,49.0,,1.9,6.0,2.0,1.0,1.17,1.28,4.81,Y
광주,56.401,2020-01-01 17:00,3.8,,51.0,,1.4,4.0,1.0,1.0,0.31,0.5,1.71,Y
광주,56.401,2020-01-01 18:00,2.8,,55.0,,0.6,0.0,1.0,0.1,0.0,0.09,1.72,Y
광주,56.401,2020-01-01 19:00,2.0,,59.0,,1.5,0.0,1.0,,0.0,,0.67,Y
광주,56.401,2020-01-01 20:00,1.1,,64.0,,2.0,0.0,1.0,,0.0,,0.28,Y
광주,56.401,2020-01-01 21:00,0.4,,68.0,,1.9,0.0,1.0,,0.0,,0.09,Y
광주,56.401,2020-01-01 22:00,0.9,,67.0,,0.6,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-01 23:00,-0.1,,71.0,,0.1,0.0,1.0,,0.0,,0.0,Y
광주,56.401,2020-01-02 00:00,-0.7,,78.0,,0.0,0.0,1.0,,0.0,,0.0,Y
