시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
대구,36.551,2020-01-01 00:00,-4.3,,31.0,,4.6,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 01:00,-4.6,,31.0,,4.9,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 02:00,-4.8,,33.0,,3.9,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 03:00,-4.6,,37.0,,3.9,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 04:00,-4.5,,41.0,,3.0,2.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 05:00,-3.8,,50.0,,2.6,7.0,2.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 06:00,-4.5,,58.0,,0.7,6.0,2.0,,0.0,,0.0,Y
대구,36.551,2020-01-01 07:00,-3.1,,58.0,,0.9,7.0,2.0,,0.0,,0.02,Y
대구,36.551,2020-01-01 08:00,-1.3,,61.0,,3.5,7.0,2.0,0.0,0.28,0.03,2.16,Y
대구,36.551,2020-01-01 09:00,-0.2,,60.0,,4.2,7.0,2.0,0.4,1.13,0.37,8.82,Y
대구,36.551,2020-01-01 10:00,1.8,,54.0,,3.4,6.0,2.0,1.0,1.83,1.07,15.25,Y
대구,36.551,2020-01-01 11:00,2.1,,53.0,,3.7,7.0,2.0,0.8,2.33,1.37,14.59,Y
대구,36.551,2020-01-01 12:00,2.7,,53.0,,4.0,7.0,2.0,0.6,2.58,1.02,17.08,Y
대구,36.551,2020-01-01 13:00,3.7,,48.0,,4.0,7.0,2.0,1.0,2.58,2.07,19.52,Y
대구,36.551,2020-01-01 14:00,3.8,,47.0,,3.6,3.0,1.0,0.9,2.33,1.65,17.1,Y
대구,36.551,2020-01-01 15:00,3.9,,48.0,,3.5,0.0,1.0,1.0,1.83,1.45,10.09,Y
대구,36.551,2020-01-01 16:00,4.0,,48.0,,3.3,0.0,1.0,1.0,1.13,0.94,3.33,Y
대구,36.551,2020-01-01 17:00,3.4,,48.0,,2.7,0.0,1.0,0.8,0.28,0.38,1.16,Y
대구,36.551,2020-01-01 18:00,2.4,,51.0,,1.9,0.0,1.0,0.0,0.0,0.02,1.08,Y
대구,36.551,2020-01-01 19:00,2.0,,54.0,,2.1,0.0,1.0,,0.0,,1.34,Y
대구,36.551,2020-01-01 20:00,1.8,,56.0,,2.0,0.0,1.0,,0.0,,1.71,Y
대구,36.551,2020-01-01 21:00,1.4,,57.0,,1.9,0.0,1.0,,0.0,,0.85,Y
대구,36.551,2020-01-01 22:00,1.2,,58.0,,1.7,0.0,1.0,,0.0,,0.26,Y
대구,36.551,2020-01-01 23:00,0.9,,59.0,,1.9,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 00:00,0.6,,62.0,,1.8,1.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 01:00,0.3,,64.0,,1.9,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 02:00,0.5,,64.0,,2.2,0.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 03:00,0.0,,67.0,,1.2,5.0,1.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 04:00,0.2,,67.0,,2.5,6.0,2.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 05:00,0.5,,65.0,,2.7,8.0,2.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 06:00,0.7,,64.0,,3.0,7.0,2.0,,0.0,,0.0,Y
대구,36.551,2020-01-02 07:00,0.7,,64.0,,2.7,6.0,2.0,,0.0,,0.05,Y
대구,36.551,2020-01-02 08:00,0.9,,64.0,,2.2,3.0,1.0,0.0,0.28,0.03,2.52,Y
대구,36.551,2020-01-02 09:00,1.9,,61.0,,2.8,3.0,1.0,0.8,1.14,0.37,8.3,Y
대구,36.551,2020-01-02 10:00,2.9,,57.0,,4.0,5.0,1.0,1.0,1.84,0.88,13.55,Y
대구,36.551,2020-01-02 11:00,4.4,,53.0,,2.5,5.0,1.0,1.0,2.33,1.37,17.08,Y
대구,36.551,2020-01-02 12:00,5.2,,50.0,,3.5,7.0,2.0,1.0,2.59,1.66,17.95,Y
대구,36.551,2020-01-02 13:00,6.0,,48.0,,5.4,0.0,1.0,1.0,2.59,1.76,16.99,Y
대구,36.551,2020-01-02 14:00,6.5,,47.0,,4.5,0.0,1.0,1.0,2.33,1.62,14.12,Y
대구,36.551,2020-01-02 15:00,6.7,,47.0,,4.7,0.0,1.0,1.0,1.84,1.32,8.28,Y
대구,36.551,2020-01-02 16:00,6.1,,49.0,,4.4,0.0,1.0,1.0,1.14,0.81,2.97,Y
대구,36.551,2020-01-02 17:00,5.1,,53.0,,3.9,0.0,1.0,0.6,0.28,0.34,1.17,Y
대구,36.551,2020-01-02 18:00,4.5,,55.0,,2.2,2.0,1.0,0.0,0.0,0.02,1.08,Y
대구,36.551,2020-01-02 19:00,5.0,,54.0,,2.6,6.0,2.0,,0.0,,1.34,Y
대구,36.551,2020-01-02 20:00,4.9,,56.0,,3.1,7.0,2.0,,0.0,,1.59,Y
대구,36.551,2020-01-02 21:00,4.7,,58.0,,2.6,7.0,2.0,,0.0,,0.85,Y
대구,36.551,2020-01-02 22:00,4.1,,59.0,,2.0,0.0,1.0,,0.0,,0.26,Y
대구,36.551,2020-01-02 23:00,3.9,,59.0,,2.5,0.0,1.0,,0.0,,0.0,Y
