시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
대전,11.574,2020-01-01 00:00,-7.5,,73.0,,1.3,0.0,1.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 01:00,-7.5,,70.0,,1.6,0.0,1.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 02:00,-7.5,,70.0,,1.1,2.0,1.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 03:00,-6.5,,70.0,,1.2,9.0,3.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 04:00,-6.1,,69.0,,0.2,9.0,3.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 05:00,-5.5,,68.0,,0.6,9.0,3.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 06:00,-5.2,0.0,69.0,,0.2,9.0,3.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 07:00,-4.9,,71.0,,0.3,10.0,3.0,,0.0,,0.0,Y
대전,11.574,2020-01-01 08:00,-4.5,,70.0,,0.4,10.0,3.0,0.0,0.26,0.0,0.13,Y
대전,11.574,2020-01-01 09:00,-4.0,0.0,70.0,,0.3,9.0,3.0,0.0,1.11,0.11,1.22,Y
대전,11.574,2020-01-01 10:00,-1.9,,70.0,,0.6,7.0,2.0,0.3,1.8,0.68,3.78,Y
대전,11.574,2020-01-01 11:00,0.9,,62.0,,1.4,1.0,1.0,1.0,2.29,1.64,5.04,Y
대전,11.574,2020-01-01 12:00,3.9,,52.0,,1.8,4.0,1.0,1.0,2.54,1.87,4.93,Y
대전,11.574,2020-01-01 13:00,4.8,,47.0,,1.4,3.0,1.0,1.0,2.54,2.36,4.51,Y
대전,11.574,2020-01-01 14:00,4.6,,48.0,,1.7,2.0,1.0,1.0,2.29,1.68,4.1,Y
대전,11.574,2020-01-01 15:00,4.6,,48.0,,2.7,4.0,1.0,1.0,1.8,1.34,1.43,Y
