시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
부산,54.805,2020-01-01 00:00,-2.5,,23.0,,1.7,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 01:00,-2.9,,22.0,,2.0,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 02:00,-3.1,,23.0,,1.9,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 03:00,-2.8,,24.0,,4.5,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 04:00,-3.1,,35.0,,1.9,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 05:00,-3.0,,44.0,,1.7,0.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 06:00,-2.8,,48.0,,2.6,4.0,1.0,,0.0,,0.0,Y
부산,54.805,2020-01-01 07:00,-2.7,,52.0,,2.9,5.0,1.0,,0.0,,0.15,Y
부산,54.805,2020-01-01 08:00,-2.3,,55.0,,1.7,6.0,2.0,0.3,0.31,0.03,4.26,Y
부산,54.805,2020-01-01 09:00,0.2,,50.0,,0.5,4.0,1.0,1.0,1.17,0.48,16.64,Y
부산,54.805,2020-01-01 10:00,1.4,,51.0,,2.2,1.0,1.0,1.0,1.88,1.11,24.87,Y
부산,54.805,2020-01-01 11:00,3.0,,49.0,,3.1,0.0,1.0,1.0,2.38,1.66,29.55,Y
부산,54.805,2020-01-01 12:00,5.3,,43.0,,1.6,0.0,1.0,1.0,2.63,1.98,30.31,Y
부산,54.805,2020-01-01 13:00,6.5,,41.0,,2.7,0.0,1.0,1.0,2.63,2.05,28.84,Y
부산,54.805,2020-01-01 14:00,7.2,,38.0,,3.1,0.0,1.0,1.0,2.38,1.95,25.11,Y
부산,54.805,2020-01-01 15:00,7.1,,40.0,,2.4,0.0,1.0,1.0,1.88,1.61,15.71,Y
부산,54.805,2020-01-01 16:00,6.8,,40.0,,2.4,0.0,1.0,1.0,1.17,1.05,3.77,Y
부산,54.805,2020-01-01 17:00,5.3,,41.0,,2.5,0.0,1.0,1.0,0.31,0.39,1.29,Y
부산,54.805,2020-01-01 18:00,4.2,,44.0,,2.2,0.0,1.0,0.0,0.0,0.01,3.17,Y
부산,54.805,2020-01-01 19:00,3.6,,46.0,,2.0,0.0,1.0,,0.0,,1.68,Y
