시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
서울,12.726,2020-01-01 00:00,-6.5,0.0,38.0,,0.0,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 01:00,-5.9,,40.0,,1.7,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 02:00,-5.7,,42.0,,0.1,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 03:00,-5.6,0.0,46.0,,0.0,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 04:00,-5.4,,50.0,,0.0,8.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 05:00,-5.2,,55.0,,0.0,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 06:00,-4.8,0.0,58.0,,1.9,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 07:00,-4.6,,62.0,,2.1,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 08:00,-4.6,,64.0,,1.8,9.0,3.0,0.0,0.2,0.0,0.05,Y
서울,12.726,2020-01-01 09:00,-4.3,0.0,70.0,,2.3,9.0,3.0,0.0,1.04,0.04,0.58,Y
서울,12.726,2020-01-01 10:00,-4.2,,76.0,,1.9,9.0,3.0,0.0,1.72,0.17,1.02,Y
서울,12.726,2020-01-01 11:00,-3.4,,75.0,0.0,1.5,9.0,3.0,0.0,2.2,0.41,2.96,Y
서울,12.726,2020-01-01 12:00,-2.2,0.1,72.0,,1.7,9.0,3.0,0.5,2.45,1.0,3.12,Y
서울,12.726,2020-01-01 13:00,-1.0,,67.0,,1.6,9.0,3.0,0.0,2.45,0.93,3.08,Y
서울,12.726,2020-01-01 14:00,-0.4,,65.0,,1.2,9.0,3.0,0.0,2.2,0.89,2.43,Y
서울,12.726,2020-01-01 15:00,0.3,,62.0,,0.0,9.0,3.0,0.3,1.72,0.68,1.2,Y
서울,12.726,2020-01-01 16:00,0.3,,64.0,,0.0,9.0,3.0,0.0,1.04,0.32,0.34,Y
서울,12.726,2020-01-01 17:00,0.2,,65.0,,0.9,9.0,3.0,0.0,0.2,0.09,0.0,Y
서울,12.726,2020-01-01 18:00,0.1,,66.0,,0.8,9.0,3.0,0.0,0.0,0.0,0.0,Y
서울,12.726,2020-01-01 19:00,0.1,,65.0,,0.3,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 20:00,0.0,,67.0,,1.7,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 21:00,-0.4,,71.0,,2.5,8.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 22:00,-0.9,,71.0,,1.5,8.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-01 23:00,-0.9,,70.0,,1.0,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 00:00,-0.7,,70.0,,2.1,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 01:00,-0.7,,72.0,,2.2,8.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 02:00,-0.6,,70.0,,2.2,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 03:00,-0.6,,70.0,,2.3,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 04:00,-0.7,,70.0,,2.1,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 05:00,-0.5,,67.0,,1.5,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 06:00,-0.6,,69.0,,1.7,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 07:00,-0.5,,65.0,,1.9,9.0,3.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 08:00,-0.4,,67.0,,2.3,9.0,3.0,0.0,0.21,0.0,0.12,Y
서울,12.726,2020-01-02 09:00,-0.1,,67.0,,2.4,9.0,3.0,0.0,1.04,0.07,0.78,Y
서울,12.726,2020-01-02 10:00,0.7,,62.0,,2.0,9.0,3.0,0.0,1.72,0.28,1.68,Y
서울,12.726,2020-01-02 11:00,1.7,,57.0,,2.0,9.0,3.0,0.0,2.21,0.59,2.15,Y
서울,12.726,2020-01-02 12:00,2.5,,56.0,,1.0,9.0,3.0,0.0,2.46,0.64,2.16,Y
서울,12.726,2020-01-02 13:00,3.4,,56.0,,1.8,9.0,3.0,0.0,2.46,0.67,1.73,Y
서울,12.726,2020-01-02 14:00,3.7,,58.0,,2.3,9.0,3.0,0.0,2.21,0.45,1.21,Y
서울,12.726,2020-01-02 15:00,3.8,,58.0,,2.8,9.0,3.0,0.0,1.72,0.4,0.82,Y
서울,12.726,2020-01-02 16:00,3.7,,58.0,,2.5,9.0,3.0,0.0,1.04,0.27,0.21,Y
서울,12.726,2020-01-02 17:00,3.3,,62.0,,3.1,9.0,3.0,0.0,0.21,0.1,0.0,Y
서울,12.726,2020-01-02 18:00,2.7,,61.0,,2.2,7.0,2.0,0.0,0.0,0.0,0.0,Y
서울,12.726,2020-01-02 19:00,2.0,,64.0,,2.0,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 20:00,1.2,,66.0,,0.7,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 21:00,0.5,,68.0,,0.9,8.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 22:00,0.3,,70.0,,0.4,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-02 23:00,-0.4,,74.0,,1.5,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 00:00,0.0,,74.0,,2.6,3.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 01:00,-0.5,,78.0,,1.4,2.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 02:00,-1.1,,80.0,,1.4,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 03:00,-1.5,,82.0,,1.5,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 04:00,-1.8,,81.0,,2.2,7.0,2.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 05:00,-2.0,,81.0,,1.5,2.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 06:00,-2.5,,85.0,,2.4,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 07:00,-3.0,,86.0,,1.4,0.0,1.0,,0.0,,0.0,Y
서울,12.726,2020-01-03 08:00,-3.3,,86.0,,1.7,0.0,1.0,0.0,0.21,0.0,0.49,Y
서울,12.726,2020-01-03 09:00,-2.6,,74.0,,2.2,0.0,1.0,0.7,1.05,0.3,2.47,Y
서울,12.726,2020-01-03 10:00,-1.0,,60.0,,2.2,0.0,1.0,1.0,1.73,0.86,4.87,Y
서울,12.726,2020-01-03 11:00,0.1,,48.0,,3.2,0.0,1.0,1.0,2.21,1.32,6.77,Y
