시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
세종,14.737,2020-01-01 00:00,-8.3,,70.0,,0.6,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 01:00,-8.5,,73.0,,0.6,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 02:00,-7.3,,67.0,,0.7,2.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 03:00,-7.1,,70.0,,0.9,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 04:00,-7.0,,72.0,,0.7,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 05:00,-6.7,,70.0,,0.6,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 06:00,-6.4,,72.0,,0.8,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 07:00,-6.1,,74.0,,0.5,10.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 08:00,-5.5,,73.0,,0.1,10.0,3.0,0.0,0.25,0.0,0.15,Y
세종,14.737,2020-01-01 09:00,-4.9,,70.0,,0.1,9.0,3.0,0.0,1.1,0.11,1.51,Y
세종,14.737,2020-01-01 10:00,-3.4,,66.0,,0.9,7.0,2.0,0.0,1.79,0.68,3.87,Y
세종,14.737,2020-01-01 11:00,-0.9,,57.0,,1.5,1.0,1.0,0.9,2.28,1.64,5.6,Y
세종,14.737,2020-01-01 12:00,1.7,,53.0,,1.1,4.0,1.0,0.8,2.53,1.87,4.87,Y
세종,14.737,2020-01-01 13:00,3.5,,45.0,,1.2,3.0,1.0,0.5,2.53,2.36,4.57,Y
세종,14.737,2020-01-01 14:00,3.6,,47.0,,1.9,2.0,1.0,0.8,2.28,1.68,3.44,Y
세종,14.737,2020-01-01 15:00,3.5,,48.0,,1.4,4.0,1.0,0.4,1.79,1.34,1.38,Y
세종,14.737,2020-01-01 16:00,3.3,,50.0,,0.8,8.0,2.0,0.1,1.1,0.68,0.37,Y
세종,14.737,2020-01-01 17:00,2.0,,57.0,,0.9,9.0,3.0,0.0,0.25,0.21,0.95,Y
세종,14.737,2020-01-01 18:00,1.2,,61.0,,1.0,9.0,3.0,0.0,0.0,0.0,0.99,Y
세종,14.737,2020-01-01 19:00,0.8,,64.0,,0.4,1.0,1.0,,0.0,,0.31,Y
세종,14.737,2020-01-01 20:00,0.7,,66.0,,0.3,5.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 21:00,0.2,,68.0,,0.2,2.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 22:00,-0.1,,70.0,,0.8,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-01 23:00,-0.2,,72.0,,0.1,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 00:00,-1.1,,78.0,,0.0,6.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 01:00,-1.6,,81.0,,0.0,7.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 02:00,-2.0,,83.0,,0.0,4.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 03:00,-2.4,,85.0,,0.2,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 04:00,-2.4,,86.0,,0.0,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 05:00,-2.6,,86.0,,0.5,6.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 06:00,-2.4,,85.0,,0.7,5.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 07:00,-2.9,,89.0,,1.3,8.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 08:00,-2.1,,85.0,,1.0,9.0,3.0,0.0,0.26,0.0,0.06,Y
세종,14.737,2020-01-02 09:00,-1.6,,83.0,,0.9,9.0,3.0,0.0,1.1,0.08,0.5,Y
세종,14.737,2020-01-02 10:00,-0.8,,80.0,,0.6,9.0,3.0,0.0,1.8,0.25,1.21,Y
세종,14.737,2020-01-02 11:00,0.0,,78.0,,1.1,9.0,3.0,0.0,2.29,0.48,1.42,Y
세종,14.737,2020-01-02 12:00,1.2,,73.0,,1.1,9.0,3.0,0.0,2.54,0.74,1.88,Y
세종,14.737,2020-01-02 13:00,2.2,,67.0,,0.8,9.0,3.0,0.0,2.54,0.89,1.52,Y
세종,14.737,2020-01-02 14:00,3.3,,63.0,,0.2,10.0,3.0,0.0,2.29,0.75,1.07,Y
세종,14.737,2020-01-02 15:00,4.3,,58.0,,1.2,10.0,3.0,0.0,1.8,0.47,0.41,Y
세종,14.737,2020-01-02 16:00,3.9,,60.0,,0.7,10.0,3.0,0.0,1.1,0.24,0.17,Y
세종,14.737,2020-01-02 17:00,3.5,,62.0,,0.6,9.0,3.0,0.0,0.26,0.06,1.68,Y
세종,14.737,2020-01-02 18:00,3.2,,64.0,,0.2,9.0,3.0,0.0,0.0,0.0,1.11,Y
세종,14.737,2020-01-02 19:00,3.2,,65.0,,0.7,4.0,1.0,,0.0,,0.71,Y
세종,14.737,2020-01-02 20:00,2.6,,68.0,,0.9,4.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 21:00,2.4,,69.0,,0.9,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 22:00,2.9,,67.0,,1.1,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-02 23:00,1.6,,75.0,,0.2,0.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 00:00,0.9,,77.0,,0.8,8.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 01:00,0.9,,77.0,,0.8,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 02:00,0.1,,83.0,,1.5,10.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 03:00,-0.3,,84.0,,1.0,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 04:00,0.1,,82.0,,0.2,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 05:00,0.1,,86.0,,0.2,6.0,2.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 06:00,-1.0,,89.0,,0.6,9.0,3.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 07:00,-0.9,,89.0,,0.1,4.0,1.0,,0.0,,0.0,Y
세종,14.737,2020-01-03 08:00,-1.5,,92.0,,0.0,0.0,1.0,0.0,0.26,0.0,0.61,Y
세종,14.737,2020-01-03 09:00,-0.3,,91.0,,0.1,0.0,1.0,0.2,1.11,0.24,2.22,Y
세종,14.737,2020-01-03 10:00,0.4,,85.0,,0.7,0.0,1.0,0.7,1.8,0.8,2.74,Y
세종,14.737,2020-01-03 11:00,3.2,,71.0,,0.7,6.0,2.0,0.8,2.29,1.11,4.53,Y
